Text,Link
Pleurisy,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/pleurisy/
Pneumonia,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/pneumonia/
Polycystic ovary syndrome (PCOS),https://www.nhsinform.scot/healthy-living/womens-health/girls-and-young-women-puberty-to-around-25/periods-and-menstrual-health/polycystic-ovary-syndrome-pcos/
Polymyalgia rheumatica,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions/polymyalgia-rheumatica/
Post-polio syndrome,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/post-polio-syndrome/
Post-traumatic stress disorder (PTSD),https://www.nhsinform.scot/illnesses-and-conditions/mental-health/post-traumatic-stress-disorder-ptsd/
Postnatal depression,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/postnatal-depression/
Pregnancy and baby,https://www.nhsinform.scot/ready-steady-baby/
Pressure ulcers,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/pressure-ulcers/
Prostate cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/prostate-cancer/
Psoriasis,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/psoriasis/
Psoriatic arthritis,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions/psoriatic-arthritis/
Psychosis,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/psychosis/
Pubic lice,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/pubic-lice/
Rare tumours,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/rare-tumours/
Raynaud’s phenomenon,https://www.nhsinform.scot/illnesses-and-conditions/heart-and-blood-vessels/conditions/raynauds-phenomenon/
Reactive arthritis,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions/reactive-arthritis/
Restless legs syndrome,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/restless-legs-syndrome/
Retinoblastoma: Children,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/retinoblastoma-children/
Rhabdomyosarcoma,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/rhabdomyosarcoma/
Rheumatoid arthritis,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions/rheumatoid-arthritis/
Ringworm and other fungal infections,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/ringworm-and-other-fungal-infections/
Rosacea,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/rosacea/
Scabies,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/scabies/
Scarlet fever,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/scarlet-fever/
Schizophrenia,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/schizophrenia/
Scoliosis,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions/scoliosis/
Septic shock,https://www.nhsinform.scot/illnesses-and-conditions/blood-and-lymph/septic-shock/
Shingles,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/shingles/
Shortness of breath,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/shortness-of-breath/
Sickle cell disease,https://www.nhsinform.scot/illnesses-and-conditions/blood-and-lymph/sickle-cell-disease/
Sinusitis,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/sinusitis/
Sjogren’s syndrome,https://www.nhsinform.scot/illnesses-and-conditions/immune-system/sjogrens-syndrome/
Skin cancer (melanoma),https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/skin-cancer-melanoma/
Skin cancer (non-melanoma),https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/skin-cancer-non-melanoma/
Skin rashes in children,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/skin-rashes-in-children/
Slapped cheek syndrome,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/slapped-cheek-syndrome/
Soft tissue sarcomas,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/soft-tissue-sarcomas/
Soft tissue sarcomas: Teenagers and young adults,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/soft-tissue-sarcomas-teenagers-and-young-adults/
Sore throat,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/sore-throat/
Spleen problems and spleen removal,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/spleen-problems-and-spleen-removal/
Stillbirth,https://www.nhsinform.scot/illnesses-and-conditions/pregnancy-and-childbirth/stillbirth/
Stomach ache and abdominal pain,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/stomach-ache-and-abdominal-pain/
Stomach cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/stomach-cancer/
Stomach ulcer,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/stomach-ulcer/
Streptococcus A (strep A),https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/streptococcus-a-strep-a/
"Stress, anxiety and low mood",https://www.nhsinform.scot/healthy-living/mental-wellbeing/
Sudden infant death syndrome (SIDS),https://www.nhsinform.scot/ready-steady-baby/early-parenthood/going-home/sleeping-safely/
Suicide,https://www.nhsinform.scot/surviving-suicidal-thoughts/getting-help-with-your-suicidal-thoughts/
Sunburn,https://www.nhsinform.scot/illnesses-and-conditions/injuries/skin-injuries/sunburn/
Supraventricular tachycardia,https://www.nhsinform.scot/illnesses-and-conditions/heart-and-blood-vessels/conditions/supraventricular-tachycardia/
Swollen glands,https://www.nhsinform.scot/illnesses-and-conditions/glands/swollen-glands/
Syphilis,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/syphilis/
Testicular cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/testicular-cancer/
Testicular cancer: Teenagers and young adults,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/testicular-cancer-teenagers-and-young-adults/
Testicular lumps and swellings,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/testicular-lumps-and-swellings/
Thirst,https://www.nhsinform.scot/illnesses-and-conditions/nutritional/thirst/
Threadworms,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/threadworms/
Thrush,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/thrush/
Thyroid cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/thyroid-cancer/
Thyroid cancer: Teenagers and young adults,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/thyroid-cancer-teenagers-and-young-adults/
Tinnitus,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/tinnitus/
Tonsillitis,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/tonsillitis/
Tooth decay,https://www.nhsinform.scot/illnesses-and-conditions/mouth/tooth-decay/
Toothache,https://www.nhsinform.scot/illnesses-and-conditions/mouth/toothache/
Transient ischaemic attack (TIA),https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/transient-ischaemic-attack-tia/
Trigeminal neuralgia,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/trigeminal-neuralgia/
Tuberculosis (TB),https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/tuberculosis-tb/
Type 1 diabetes,https://www.nhsinform.scot/illnesses-and-conditions/diabetes/type-1-diabetes/
Type 2 diabetes,https://www.nhsinform.scot/illnesses-and-conditions/diabetes/type-2-diabetes/
Trichomonas infection,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/trichomonas-infection/
Transverse myelitis,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/transverse-myelitis/
Ulcerative colitis,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/inflammatory-bowel-disease-ibd/ulcerative-colitis/
Underactive thyroid,https://www.nhsinform.scot/illnesses-and-conditions/glands/underactive-thyroid/
Urinary incontinence,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/urinary-incontinence/
Urinary tract infection (UTI),https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/urinary-tract-infection-uti/
Urinary tract infection (UTI) in children,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/urinary-tract-infection-uti-in-children/
Urticaria (hives),https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/hives/
Vaginal cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/vaginal-cancer/
Vaginal discharge,https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/vaginal-discharge/
Varicose eczema,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/varicose-eczema/
Venous leg ulcer,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/venous-leg-ulcer/
Vertigo,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/vertigo/
Vitamin B12 or folate deficiency anaemia,https://www.nhsinform.scot/illnesses-and-conditions/nutritional/vitamin-b12-or-folate-deficiency-anaemia/
Vomiting in adults,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/vomiting-in-adults/
Vulval cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/vulval-cancer/
Warts and verrucas,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/warts-and-verrucas/
Whooping cough,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/whooping-cough/
Wilms’ tumour,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/wilms-tumour/
Womb (uterus) cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/womb-uterus-cancer/
Yellow fever,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/yellow-fever/
